question,answer,source_page
"How much does a weekly parking tag cost for Great Smoky Mountains National Park?","A weekly parking tag is $15.","https://www.nps.gov/grsm/faqs.htm"
"What two walking paths in Great Smoky Mountains National Park permit pets on a leash?","The Gatlinburg Trail and the Oconaluftee River Trail.","https://www.nps.gov/grsm/faqs.htm"
"Which road in Great Smoky Mountains National Park is closed to motor vehicles on Wednesdays from May to September to allow for biking?","Cades Cove Loop Road (11 miles).","https://www.nps.gov/grsm/faqs.htm"
"How can visitors reach LeConte Lodge in Great Smoky Mountains National Park?","LeConte Lodge can only be accessed by hiking to the summit of Mt. LeConte.","https://www.nps.gov/grsm/faqs.htm"
"How many black bears are estimated to live in Great Smoky Mountains National Park?","It is estimated that around 1,900 black bears live in the park.","https://www.nps.gov/grsm/faqs.htm"
"What is the highest peak in Great Smoky Mountains National Park?","Kuwohi (formerly Clingmans Dome) is the highest peak, standing at 6,643 feet.","https://www.nps.gov/grsm/faqs.htm"
"How many species of salamanders have been identified within Great Smoky Mountains National Park?","There are 31 species of salamanders identified within the park.","https://www.nps.gov/grsm/faqs.htm"
"In what year was Great Smoky Mountains National Park founded?","Great Smoky Mountains National Park was founded in 1934.","https://www.nps.gov/grsm/faqs.htm"
"What is the closest NPS visitor center to the Big Creek area of Great Smoky Mountains National Park?","Sugarlands Visitor Center is the closest NPS visitor center to Big Creek.","https://www.nps.gov/grsm/planyourvisit/big-creek.htm"
"Which road is the most direct route into the Cataloochee Valley in Great Smoky Mountains National Park?","The most direct route is Cove Creek Road.","https://www.nps.gov/grsm/planyourvisit/cataloochee-balsam.htm"
"From March through late November, how can visitors access the Zion Canyon Scenic Drive in Zion National Park?","Access is by shuttle bus only during this time. Private vehicles are allowed only when the Shuttle System is not in operation.","https://www.nps.gov/zion/frequently-asked-questions-about-zion-canyon.htm"
"What are the red permits used for in Zion Canyon at Zion National Park?","Red permits are issued for overnight guests of the Zion Lodge, allowing them to park in the lodge parking lot.","https://www.nps.gov/zion/frequently-asked-questions-about-zion-canyon.htm"
"Where is the closest camping available in Zion Canyon at Zion National Park?","The closest camping is available in Watchman and South campgrounds, located near the south entrance.","https://www.nps.gov/zion/frequently-asked-questions-about-zion-canyon.htm"
"Which trails in Zion National Park are wheelchair accessible with assistance?","The Pa'rus Trail and the Riverside Walk.","https://www.nps.gov/zion/frequently-asked-questions-about-zions-hiking-trails.htm"
"On which trail in Zion National Park are bicycles and leashed pets allowed?","The Pa'rus Trail.","https://www.nps.gov/zion/frequently-asked-questions-about-zions-hiking-trails.htm"
"Which two trails in Zion National Park were constructed by the Civilian Conservation Corps (CCC)?","The Watchman Trail (completed in 1934) and the Canyon Overlook Trail (completed in 1933).","https://www.nps.gov/zion/frequently-asked-questions-about-zions-hiking-trails.htm"
"Is a permit required to day hike the Narrows from the bottom up in Zion National Park?","No, a permit is not required for the bottom-up day hike starting from the Riverside Walk.","https://www.nps.gov/zion/frequently-asked-questions-about-the-narrows-virgin-river.htm"
"How did the Virgin River in Zion National Park get its name?","It is believed that the Virgin River was named 'La Virgen' by Spanish Catholic Missionaries in honor of the Virgin Mary.","https://www.nps.gov/zion/frequently-asked-questions-about-the-narrows-virgin-river.htm"
"How far is the hike to Kolob Arch in Zion National Park's Kolob Canyons area?","It is a 7-mile one-way hike.","https://www.nps.gov/zion/frequently-asked-questions-about-kolob-canyons.htm"
"Where must all Wilderness permits for Kolob Canyons in Zion National Park be picked up?","All Wilderness permits must be picked up at the Zion Canyon Visitor Center.","https://www.nps.gov/zion/frequently-asked-questions-about-kolob-canyons.htm"
"What is the average depth of the Grand Canyon?","The average depth is 1 mile (1.6 km).","https://www.nps.gov/grca/learn/management/statistics.htm"
"How many species of birds are found in Grand Canyon National Park?","There are 450 species of birds.","https://www.nps.gov/grca/learn/management/statistics.htm"
"In what year did Grand Canyon National Park implement its shuttle system?","The shuttle system was implemented in 1974.","https://www.nps.gov/grca/learn/management/statistics.htm"
"How long is the 'We Are Grand Canyon' film shown at the Grand Canyon Visitor Center theater?","The film is 24 minutes long.","https://www.nps.gov/grca/planyourvisit/things2do.htm"
"During which months is Hermit Road at the South Rim of the Grand Canyon open to private vehicles?","Hermit Road is open to private vehicles under 22 feet during December, January, and February, when there is no bus service.","https://www.nps.gov/grca/planyourvisit/things2do.htm"
"What is the maximum capacity and time limit for visitors in the Desert View Watchtower at Grand Canyon National Park?","The capacity is 25 people in the tower at one time, with a 20-minute time limit.","https://www.nps.gov/grca/planyourvisit/things2do.htm"
"How far is the Tusayan Pueblo from Desert View in Grand Canyon National Park?","The Tusayan Pueblo is located 3 miles (5 km) west of Desert View.","https://www.nps.gov/grca/planyourvisit/things2do.htm"
"What is the fee for a Standard individual entrance pass for a pedestrian or bicyclist at Grand Canyon National Park?","The individual pass fee is $20.00.","https://www.nps.gov/grca/planyourvisit/fees.htm"
"How much is the additional nonresident fee for non-US residents aged 16 and older at Grand Canyon National Park?","Non-US residents must pay an additional $100 per person fee.","https://www.nps.gov/grca/planyourvisit/fees.htm"
"What is the commercial tour fee for vehicles with a capacity of 26 or greater entering Grand Canyon National Park?","They will be charged a flat fee of $300.00.","https://www.nps.gov/grca/planyourvisit/fees.htm"
"How many visitor centers and developed areas with lodges are located within Yellowstone National Park?","There are ten visitor centers and eight developed areas.","https://www.nps.gov/yell/planyourvisit/placestogo.htm"
"What hydrothermal features are listed as highlights of the Madison area in Yellowstone National Park?","Fountain Paint Pot, Grand Prismatic Spring, Great Fountain Geyser, Midway Geyser Basin, Terrace Springs, and White Dome Geyser.","https://www.nps.gov/yell/planyourvisit/placestogo.htm"
"Which two lodges in Yellowstone National Park are the only ones open in the winter?","Old Faithful Snow Lodge and Mammoth Hot Springs Hotel.","https://www.nps.gov/yell/faqs.htm"
"How did Yellowstone National Park get its name?","It is named after the Yellowstone River, which French-Canadian trappers translated as 'Roche Jaune' from the Minnetaree tribe's name 'Mi tse a-da-zi' (Rock Yellow River). English explorer David Thompson later translated it to 'Yellow Stone'.","https://www.nps.gov/yell/faqs.htm"
"What is the highest peak in Yellowstone National Park?","Eagle Peak in the southeastern part of Yellowstone is the highest at 11,358 feet.","https://www.nps.gov/yell/faqs.htm"
"How many caldera-forming eruptions have occurred in Yellowstone's history?","There have been three massive caldera-forming eruptions.","https://www.nps.gov/yell/learn/nature/volcano.htm"
"How far away did the ash from Yellowstone's 2.1 million-year-old volcanic eruption reach?","It coated 5,790 square miles with ash, reaching as far away as Missouri.","https://www.nps.gov/yell/learn/nature/volcano.htm"
"What are the three components necessary for the existence of geysers and hydrothermal features in Yellowstone National Park?","Heat, water, and a natural 'plumbing' system.","https://www.nps.gov/yell/learn/nature/hydrothermal-systems.htm"
"What happened at Steamboat Geyser in Yellowstone National Park on March 15, 2018?","It began a period of more frequent eruptions after three and a half years of dormancy.","https://www.nps.gov/yell/learn/nature/hydrothermal-systems.htm"
"What foreign objects were ejected during the rare eruption of Ear Spring in Yellowstone National Park on September 15, 2018?","The eruption ejected foreign objects including coins and trash dating back to the 1930s.","https://www.nps.gov/yell/learn/nature/hydrothermal-systems.htm"
"How many mammal species are known to be native to the Rocky Mountain National Park area?","67 mammal species are known to be native to the area.","https://www.nps.gov/romo/learn/nature/mammals.htm"
"What three mammal species were locally extirpated from Rocky Mountain National Park in the 19th and early 20th centuries?","Grizzly bears, gray wolves, and bison.","https://www.nps.gov/romo/learn/nature/mammals.htm"
"How many species of bats are known to live in Rocky Mountain National Park?","There are 9 known species of bats.","https://www.nps.gov/romo/learn/nature/mammals.htm"
"What are the three main ecosystems that visitors can explore in Rocky Mountain National Park?","The montane, subalpine, and alpine life zones.","https://www.nps.gov/romo/plan-your-summer-trip-to-rocky.htm"
"What is the elevation at the start of Bear Lake Road near the Beaver Meadows Entrance in Rocky Mountain National Park?","The elevation is 8,200 feet (2,500 meters).","https://www.nps.gov/romo/plan-your-summer-trip-to-rocky.htm"
"Which road in Rocky Mountain National Park is the highest continuously paved road in North America?","Trail Ridge Road.","https://www.nps.gov/romo/plan-your-summer-trip-to-rocky.htm"
"During what time of day can the sound of an elk's bugle typically be heard across montane meadows during the fall rut in Rocky Mountain National Park?","Especially at dawn and dusk.","https://www.nps.gov/romo/plan-your-fall-trip-to-rocky.htm"
"In what valley is the Holzwarth Historic Site located in Rocky Mountain National Park?","The Kawuneeche Valley.","https://www.nps.gov/romo/planyourvisit/holzwarth-historic-site.htm"
"During the summer, what are the operating hours for the buildings at the Holzwarth Historic Site in Rocky Mountain National Park?","The buildings are open and staffed every day from 9:30 am - 2:30 pm.","https://www.nps.gov/romo/planyourvisit/holzwarth-historic-site.htm"
"In what year did John and Sophia Holzwarth use the Homestead Act to make a home in what is now Rocky Mountain National Park?","In 1917.","https://www.nps.gov/romo/planyourvisit/holzwarth-historic-site.htm"
"In what year was Yosemite first protected?","It was first protected in 1864.","https://www.nps.gov/yose/index.htm"
"How large is Yosemite National Park?","It protects nearly 1,200 square miles (311,000 Ha).","https://www.nps.gov/yose/index.htm"
"What three highways provide access to Yosemite Valley from the west all year?","Highways 41, 140, and 120.","https://www.nps.gov/yose/planyourvisit/yv.htm"
"Between which months is the Happy Isles Art and Nature Center in Yosemite Valley open?","It is open from May to September.","https://www.nps.gov/yose/planyourvisit/yv.htm"
"What are the permitted hours to drive the road to Hetch Hetchy in Yosemite National Park?","The road to Hetch Hetchy is open only during daylight hours, from sunrise to sunset.","https://www.nps.gov/yose/planyourvisit/hh.htm"
"How far is Hetch Hetchy from Yosemite Valley?","Hetch Hetchy is located 38 miles (61 km), or about 1 hour and 15 minutes from Yosemite Valley.","https://www.nps.gov/yose/planyourvisit/hh.htm"
"Why are swimming and boating prohibited in Hetch Hetchy Reservoir in Yosemite National Park?","They are prohibited in order to maintain a clean source of drinking water.","https://www.nps.gov/yose/planyourvisit/hh.htm"
"What does the Miwok word hatchhatchie mean, from which Hetch Hetchy derives its name?","It means 'edible grasses.'","https://www.nps.gov/yose/planyourvisit/hh.htm"
"Which three giant sequoia groves are located in Yosemite National Park?","The Mariposa Grove, the Tuolumne Grove, and the Merced Grove.","https://www.nps.gov/yose/faqs.htm"
"How long is the round-trip hike to the top of Half Dome in Yosemite National Park?","The hike is 14 miles round-trip with about 5,000 feet of elevation gain.","https://www.nps.gov/yose/faqs.htm"
"How many plant species are found in Acadia National Park?","More than 1,100 plant species are found here.","https://www.nps.gov/acad/learn/nature/index.htm"
"How many miles of coastline does Acadia National Park protect?","Acadia protects nearly 64 miles of coastline.","https://www.nps.gov/acad/learn/nature/index.htm"
"How long is the Park Loop Road in Acadia National Park?","The Park Loop Road is 27 miles (43 km) long.","https://www.nps.gov/acad/planyourvisit/park-loop-road.htm"
"During the winter months, what is the only section of the Park Loop Road in Acadia National Park that typically remains open to vehicles?","The section from Sand Beach Entrance Station to Otter Cliff Road usually remains open to vehicles.","https://www.nps.gov/acad/planyourvisit/park-loop-road.htm"
"What four bodies of water on the west side of Mount Desert Island in Acadia National Park provide recreational boating opportunities?","Long Pond, Echo Lake, Hodgdon Pond, and Seal Cove Pond.","https://www.nps.gov/acad/planyourvisit/west-side-mountains-lakes.htm"
"At which beach in the western area of Acadia National Park is swimming allowed?","Echo Lake Beach.","https://www.nps.gov/acad/planyourvisit/west-side-mountains-lakes.htm"
"Approximately how many miles of hiking trails are available in Acadia National Park?","There are more than 150 miles of trails.","https://www.nps.gov/acad/planyourvisit/hiking.htm"
"What is the maximum allowed leash length for pets on trails in Acadia National Park?","Pets must be kept on a leash no longer than 6 feet (1.8 m).","https://www.nps.gov/acad/planyourvisit/hiking.htm"
"Are pets permitted on ladder trails in Acadia National Park?","No, pets are not permitted on ladder trails.","https://www.nps.gov/acad/planyourvisit/hiking.htm"
"What color blazes mark the hiking trails in Acadia National Park?","The trails are marked with blue trail blazes.","https://www.nps.gov/acad/planyourvisit/hiking.htm"
"Which ferry provides a daily voyage between Port Angeles and Victoria, BC, near Olympic National Park?","The Coho Ferry, operated by Black Ball Ferry Line.","https://www.nps.gov/olym/planyourvisit/directions.htm"
"What are the departure times for the first and last Hurricane Ridge Shuttles from downtown Port Angeles to Olympic National Park during the summer?","The first shuttle leaves Port Angeles at 8 AM and the last shuttle leaves Hurricane Ridge at 5:30 PM.","https://www.nps.gov/olym/planyourvisit/directions.htm"
"How far is the Elwha Valley located from Port Angeles in Olympic National Park?","The Elwha Valley is located 11 miles west of Port Angeles.","https://www.nps.gov/olym/planyourvisit/visiting-the-elwha.htm"
"Until what date did Olympic National Park, the Lower Elwha Klallam Tribe, and the WDFW extend the closure of fisheries in the Elwha River?","Until June 2025.","https://www.nps.gov/olym/planyourvisit/visiting-the-elwha.htm"
"What is the average yearly precipitation in the Hoh Rain Forest at Olympic National Park?","The yearly average is 140 inches (3.55 meters) of precipitation.","https://www.nps.gov/olym/planyourvisit/visiting-the-hoh.htm"
"How many campsites are located in the Hoh Rain Forest campground at Olympic National Park?","There are 72 campsites.","https://www.nps.gov/olym/planyourvisit/visiting-the-hoh.htm"
"How long is the Hall of Mosses Trail in the Hoh Rain Forest of Olympic National Park?","The Hall of Mosses Trail is an iconic loop that is 0.8 miles (1.2 km) long.","https://www.nps.gov/olym/planyourvisit/visiting-the-hoh.htm"
"How far south of Port Angeles is Hurricane Ridge located in Olympic National Park?","Hurricane Ridge is located 17 miles south of Port Angeles.","https://www.nps.gov/olym/planyourvisit/visiting-hurricane-ridge.htm"
"On which days is the Hurricane Ridge Road scheduled to be open during the winter season in Olympic National Park?","It is scheduled to be open Friday through Sunday and holiday Mondays, weather and road conditions permitting.","https://www.nps.gov/olym/planyourvisit/visiting-hurricane-ridge.htm"
"How many campsites does the Heart O' the Hills campground have near Hurricane Ridge in Olympic National Park?","It has 105 campsites in the old-growth forest.","https://www.nps.gov/olym/planyourvisit/visiting-hurricane-ridge.htm"
"How much is the 7-day entrance fee for a private, non-commercial vehicle at Grand Teton National Park?","The entrance fee is $35.00.","https://www.nps.gov/grte/faqs.htm"
"Between which dates are portions of the Teton Park Road and Moose-Wilson Road closed to vehicles in Grand Teton National Park?","They are closed to vehicles from November 1 through April 30 or longer depending on snow conditions.","https://www.nps.gov/grte/faqs.htm"
"At which visitor center in Grand Teton National Park can visitors learn about Indigenous cultures and view the Indigenous Arts and Cultural Demonstration Program?","The Colter Bay Visitor Center.","https://www.nps.gov/grte/planyourvisit/colterbayplan.htm"
"How deep is the natural lake portion of Jackson Lake in Grand Teton National Park?","It is a 400-foot deep natural lake.","https://www.nps.gov/grte/planyourvisit/colterbayplan.htm"
"How was the Craig Thomas Discovery and Visitor Center in Grand Teton National Park funded?","$8 million from Congress, $1.5 million from the Grand Teton Association, and more than $12 million from the Grand Teton National Park Foundation.","https://www.nps.gov/grte/planyourvisit/mooseplan.htm"
"Who built the iconic barns located on Mormon Row in Grand Teton National Park?","Brothers John Moulton and T.A. Moulton.","https://www.nps.gov/grte/planyourvisit/mooseplan.htm"
"How far north of Moose Junction did Ansel Adams take his famous 1942 picture of the Snake River in Grand Teton National Park?","About 8.5 miles north of Moose Junction at the Snake River Overlook.","https://www.nps.gov/grte/planyourvisit/mooseplan.htm"
"How deep is Jenny Lake in Grand Teton National Park?","Jenny Lake is 256 feet deep at its deepest point.","https://www.nps.gov/grte/planyourvisit/jennylakeplan.htm"
"Who was Jenny Lake in Grand Teton National Park named after?","It was named after Jenny Leigh, the Shoshone Indian wife of Richard 'Beaver Dick' Leigh.","https://www.nps.gov/grte/planyourvisit/jennylakeplan.htm"
"How far is the roundtrip hike to Hidden Falls from the visitor center at Jenny Lake in Grand Teton National Park?","It is a 5-mile (8 km) roundtrip hike from the visitor center.","https://www.nps.gov/grte/planyourvisit/jennylakeplan.htm"
"Which campgrounds in Glacier National Park offer shower facilities exclusively for their guests?","St. Mary, Fish Creek, and Apgar campgrounds.","https://www.nps.gov/glac/faqs.htm"
"What group sizes are permitted in the group sites at Glacier National Park campgrounds?","Group sites are for groups of 9 to 24 campers.","https://www.nps.gov/glac/faqs.htm"
"Which loops and specific sites are designated as generator-free in Glacier National Park campgrounds?","The entirety of Sprague Creek Campground, Loop C in Fish Creek, Loop A in St. Mary, sites 49-84 in Rising Sun, sites 86-100 in Many Glacier, and sites 1-36 in Two Medicine.","https://www.nps.gov/glac/faqs.htm"
"What is the text number and code to receive live updates when first-come, first-served campgrounds fill up at Glacier National Park?","Text GNPCGS to 333111.","https://www.nps.gov/glac/faqs.htm"
"How long is the hike to Apgar Lookout from the trailhead in Glacier National Park?","The hike is 3.6 miles (5.8 km) one-way.","https://www.nps.gov/glac/planyourvisit/hikinglakemcdonald.htm"
"What is the elevation gain for the Mt. Brown Lookout hike in Glacier National Park?","The elevation gain is 4,325 ft (1,318 m).","https://www.nps.gov/glac/planyourvisit/hikinglakemcdonald.htm"
"How long is the hike to Iceberg Lake from the Iceberg Ptarmigan Trailhead in Glacier National Park?","It is 4.8 miles (7.7 km) one-way.","https://www.nps.gov/glac/planyourvisit/hikingmanyglacier.htm"
"Between which months are the Ptarmigan Tunnel doors generally open in Glacier National Park?","Tunnel doors generally open mid-July to late September.","https://www.nps.gov/glac/planyourvisit/hikingmanyglacier.htm"
"What is the fee to rent snowshoes at the Apgar Visitor Center for ranger-led hikes in Glacier National Park?","The fee is $2.","https://www.nps.gov/glac/planyourvisit/guided-winter-activities.htm"
"At what forecasted temperature will ranger-led snowshoe walks in Glacier National Park be canceled?","Walks will be canceled if West Glacier temperatures are forecasted below 10° F.","https://www.nps.gov/glac/planyourvisit/guided-winter-activities.htm"